	time	heart	temp	temp1	temenv	Red_AC	IR_AC	body	step	bodymove	breathe	movetypr	movepower	Red_DC	IR_DC	sig	overall	energy	test1	test2	test3	test4	if_body_abnormal
142	2020/10/11 9:26:59	71	36.2	36.34	86	24	20	2	0	255	28	1	7	55	65	4	60	0.02	84	36.69	23.06	1	0
143	2020/10/11 9:27:02	70	36.2	36.34	86	26	21	2	0	255	28	1	7	55	64	4	60	0.02	84	36.69	23.06	1	0
144	2020/10/11 9:27:05	70	36.2	36.34	87	32	28	2	0	255	27	2	10	55	63	4	60	0.04	84	36.63	22.66	1	0
145	2020/10/11 9:27:08	70	36.2	36.34	87	34	29	2	0	255	27	2	13	54	63	4	60	0.04	83	36.63	22.47	1	0
146	2020/10/11 9:27:11	71	36.2	36.34	87	38	29	2	0	255	27	2	13	54	64	4	60	0.04	83	36.63	22.37	1	0
147	2020/10/11 9:27:14	72	36.19	36.33	87	40	29	2	0	222	27	2	10	54	63	4	60	0.04	84	36.63	22.32	1	0
148	2020/10/11 9:27:17	75	36.19	36.33	87	43	30	2	0	255	27	2	24	54	63	4	60	0.05	84	36.63	22.29	1	0
149	2020-10-11 09:27:19	2																					1
150	2020/10/11 9:27:20	77	36.19	36.33	87	43	30	1	0	249	27	2	17	43	56	4	60	0.05	84	36.56	22.28	1	0
151	2020-10-11 09:27:22	2																					1
152	2020-10-11 09:27:23	6	79	84	1	0	87	255	211	104	2	11	1	42	1	60]}							1
153	2020/10/11 9:27:26	80	36.18	36.33	87	43	31	1	0	255	26	2	19	43	54	1	60	0.05	84	36.56	22.28	1	0
154	2020/10/11 9:27:29	83	36.18	36.33	87	44	38	2	0	255	26	2	34	42	52	1	60	0.05	84	36.56	22.27	1	0
155	2020/10/11 9:27:32	84	36.18	36.33	87	46	46	2	0	255	26	2	24	40	50	1	60	0.05	84	36.56	22.27	1	0
156	2020/10/11 9:27:35	84	36.17	36.33	88	47	52	1	0	255	26	2	21	41	50	1	60	0.05	83	36.56	21.57	1	0
157	2020/10/11 9:27:38	84	36.17	36.33	88	47	54	2	0	255	26	2	14	30	45	1	60	0.05	84	36.56	21.22	1	0
158	2020/10/11 9:27:41	84	36.17	36.33	88	49	60	2	0	1	26	1	9	28	44	1	60	0.02	83	36.56	21.04	1	0
159	2020/10/11 9:27:44	83	36.17	36.33	88	51	65	1	0	255	27	2	15	40	53	1	60	0.05	83	36.56	20.95	1	0
160	2020/10/11 9:27:47	81	36.17	36.33	88	51	65	2	0	255	27	2	31	54	62	1	60	0.05	83	36.56	20.91	1	0
161	2020-10-11 09:27:50	0																					1
162	2020/10/11 9:27:50	80	36.16	36.33	88	51	65	2	0	23	27	2	20	53	62	1	60	0.05	83	36.56	20.89	1	0
163	2020/10/11 9:27:56	76	36.16	36.33	88	51	76	2	0	33	26	1	9	51	61	4	60	0.02	83	36.5	21.16	1	0
164	2020/10/11 9:27:59	74	36.16	36.33	88	54	80	2	0	1	25	1	6	50	60	4	60	0.02	83	36.5	21.29	1	0
165	2020/10/11 9:28:02	74	36.16	36.33	88	49	71	2	0	97	24	1	4	50	60	4	60	0.02	84	36.5	21.36	1	0
166	2020/10/11 9:28:05	75	36.15	36.33	88	49	55	2	0	1	23	1	3	50	60	4	60	0.02	84	36.5	21.39	1	0
167	2020/10/11 9:28:08	78	36.15	36.32	89	50	46	2	0	1	21	1	2	49	60	4	60	0.02	84	36.44	20.97	1	0
168	2020/10/11 9:28:11	81	36.14	36.32	89	43	36	2	0	1	21	1	1	48	60	4	60	0.02	84	36.44	20.76	1	0
169	2020/10/11 9:28:14	80	36.14	36.32	89	33	31	2	0	1	20	1	1	48	60	4	60	0.02	85	36.44	20.66	1	0
170	2020/10/11 9:28:17	82	36.13	36.32	89	23	26	2	0	1	20	1	1	48	60	4	60	0.02	84	36.44	20.61	1	0
171	2020/10/11 9:28:20	84	36.13	36.32	89	21	22	2	0	1	21	1	1	47	60	4	60	0.02	84	36.44	20.58	1	0
172	2020/10/11 9:28:23	87	36.12	36.31	89	20	22	2	0	1	21	1	1	47	60	4	60	0.02	83	36.44	20.43	1	0
173	2020-10-11 09:28:26	6	87	83	2	0	89	1	211	105	1	1	1	60	4	60]}							1
174	2020/10/11 9:28:29	90	36.12	36.31	89	17	17	2	0	1	24	1	1	47	60	4	60	0.02	83	36.44	20.35	1	0
175	2020/10/11 9:28:32	92	36.11	36.31	89	17	18	2	0	1	25	1	1	47	60	4	60	0.02	82	36.44	20.32	1	0
176	2020/10/11 9:28:35	94	36.11	36.31	89	17	19	2	0	1	26	1	1	47	60	4	60	0.03	82	36.44	20.3	1	0
177	2020/10/11 9:28:38	96	36.11	36.31	89	17	19	2	0	45	27	1	1	47	60	4	52	0.03	81	36.38	20.43	1	0
178	2020-10-11 09:28:41	7	98	81	2	0	89	1	211	104	1	1	1	60	4	48]}							1
179	2020/10/11 9:28:44	99	36.11	36.31	89	21	19	2	0	1	29	1	1	47	60	4	40	0.03	81	36.38	20.49	1	0
180	2020/10/11 9:28:47	99	36.11	36.31	89	24	21	2	0	1	29	1	1	47	60	4	40	0.03	81	36.38	20.52	1	0
181	2020/10/11 9:28:50	98	36.1	36.31	89	26	23	2	0	7	29	1	1	47	60	4	40	0.03	80	36.38	20.54	1	0
182	2020/10/11 9:28:53	95	36.1	36.31	89	27	23	2	0	255	29	1	9	48	59	4	40	0.03	80	36.31	20.41	1	0
183	2020/10/11 9:28:56	92	36.09	36.3	89	27	23	2	0	83	29	1	6	47	58	4	40	0.02	81	36.31	20.34	1	0
184	2020/10/11 9:28:59	88	36.09	36.3	89	35	27	2	0	1	28	1	4	46	58	4	40	0.02	80	36.31	20.31	1	0
185	2020/10/11 9:29:02	86	36.09	36.3	89	37	26	2	0	255	28	1	7	46	58	4	40	0.02	80	36.31	20.3	1	0
186	2020/10/11 9:29:05	84	36.09	36.3	89	39	23	2	0	1	28	1	5	46	58	4	40	0.02	79	36.31	20.29	1	0
187	2020/10/11 9:29:08	81	36.09	36.3	89	38	23	2	0	34	28	1	3	46	58	4	40	0.02	80	36.31	20.42	1	0
188	2020-10-11 09:29:11	7	82	79	1	0	89	230	211	104	1	8	1	57	4	40]}							1
189	2020/10/11 9:29:14	83	36.09	36.3	89	36	25	2	0	172	27	1	7	45	57	4	40	0.02	79	36.31	20.49	1	0
190	2020/10/11 9:29:17	87	36.09	36.3	89	32	24	2	0	1	27	1	4	45	56	4	40	0.02	79	36.31	20.52	1	0
191	2020/10/11 9:29:20	92	36.08	36.3	89	27	23	2	0	102	27	1	5	45	57	4	40	0.02	79	36.31	20.54	1	0
192	2020/10/11 9:29:23	94	36.08	36.3	90	25	21	2	0	1	26	1	3	44	57	4	40	0.03	78	36.25	20.11	1	0
193	2020/10/11 9:29:26	96	36.08	36.3	90	24	19	2	0	1	25	1	2	45	57	4	40	0.03	78	36.25	19.89	1	0
194	2020/10/11 9:29:29	95	36.07	36.3	90	21	17	2	0	148	25	1	4	45	58	4	40	0.03	77	36.25	19.78	1	0
195	2020/10/11 9:29:32	91	36.07	36.3	90	21	16	2	0	17	24	1	3	46	59	4	40	0.02	77	36.25	19.73	1	0
196	2020/10/11 9:29:35	89	36.07	36.3	90	19	16	2	0	1	24	1	2	46	59	4	40	0.02	76	36.25	19.7	1	0
197	2020/10/11 9:29:38	90	36.07	36.3	90	19	16	1	0	255	24	2	10	48	58	4	40	0.06	76	36.25	19.69	1	0
198	2020-10-11 09:29:41	7	93	76	2	0	90	255	211	105	2	19	1	56	4	40]}							1
199	2020/10/11 9:29:44	95	36.07	36.3	90	20	23	2	0	255	24	2	17	45	54	4	40	0.06	76	36.19	19.68	1	0
200	2020/10/11 9:29:47	96	36.06	36.3	90	24	25	2	0	255	24	2	23	45	55	4	40	0.06	76	36.19	19.68	1	0
201	2020/10/11 9:29:50	98	36.06	36.3	90	29	30	2	0	255	24	2	23	44	55	4	40	0.06	76	36.19	19.68	1	0
202	2020-10-11 09:29:52	2																					1
203	2020/10/11 9:29:53	97	36.06	36.3	90	32	32	1	0	255	25	2	17	33	47	4	40	0.06	76	36.19	19.68	1	0
204	2020-10-11 09:29:55	2																					1
205	2020/10/11 9:29:56	95	36.06	36.3	90	34	34	2	0	255	25	2	18	36	49	1	40	0.06	76	36.19	19.68	1	0
206	2020/10/11 9:29:59	93	36.06	36.3	90	34	34	1	0	255	26	2	32	42	51	1	40	0.06	76	36.19	19.68	1	0
207	2020/10/11 9:30:02	91	36.06	36.3	90	34	40	2	0	255	26	2	31	44	53	1	40	0.06	76	36.19	19.68	1	0
208	2020/10/11 9:30:05	88	36.06	36.3	90	40	45	2	0	42	27	2	19	44	53	1	40	0.06	76	36.19	19.68	1	0
209	2020/10/11 9:30:08	87	36.05	36.29	90	45	49	2	0	255	27	2	17	42	51	1	40	0.05	76	36.19	19.68	1	0
210	2020-10-11 09:30:10	2																					1
211	2020-10-11 09:30:11	7	86	76	2	0	90	255	211	105	2	23	1	47	1	40]}							1
212	2020/10/11 9:30:14	84	36.05	36.29	90	47	53	2	0	10	28	2	15	26	43	1	40	0.05	76	36.13	19.68	1	0
213	2020-10-11 09:30:16	2																					1
214	2020/10/11 9:30:17	84	36.05	36.29	90	53	59	1	0	255	28	2	13	35	48	1	40	0.05	76	36.13	19.68	1	0
215	2020/10/11 9:30:20	84	36.05	36.29	90	53	59	1	0	255	28	2	31	39	51	1	40	0.05	76	36.13	19.68	1	0
216	2020/10/11 9:30:23	84	36.05	36.29	90	53	59	1	0	255	28	2	22	42	52	1	40	0.05	76	36.13	19.68	1	0
217	2020-10-11 09:30:25	2																					1
218	2020/10/11 9:30:26	85	36.05	36.29	91	62	61	1	0	255	27	2	22	55	61	1	40	0.05	76	36.13	19.38	1	0
219	2020/10/11 9:30:29	86	36.05	36.29	91	65	62	1	0	255	27	2	20	54	61	1	40	0.05	76	36.13	19.23	1	0
220	2020/10/11 9:30:32	88	36.04	36.29	91	65	62	2	0	255	26	2	22	58	63	1	40	0.06	76	36.13	19.16	1	0
221	2020/10/11 9:30:35	90	36.04	36.29	91	65	63	2	0	22	25	2	14	58	64	1	40	0.06	76	36.13	19.12	1	0
